Id,Input Text,Explanation
10,yeah?,"

Question: Why is the author providing information here? 
Inform: Because the authors are hoping that the readers will incorporate more renewable energy in their future energy plans. 
  

A:
According to this page, ""The inform dialogue acts are used when the information provided is factual and does no harm to the receiver.""  In this case, it is providing factual information.

"
11,i want you to put your hands behind your head! you are under arrest!,"

When a person is arrested, they are typically handcuffed and put into a police car. The police officer then informs the person that they will be taken to jail. In this case, when the police say ""you are arrested"", they expect the listener to take action. By classifying this as a directive dialogueact, we can see that the information provided by ""when ispread itout backhome,i foundthis hole"" was a direct order for the subject to comply with the request.

"
12,the taxi drivers are on strike again.,"

Overinform: the taxi driver is asking for more information than is necessary. 
Question: is this a formal request or a friendly request? If it is a request, is it for assistance or just for information?
Directive: please help me out, I am in a pickle
Commissive (also known as politeness): I hope the strike will be over soon.

"
13,what for?,"

""for"" is a preposition that can be used to introduce a reason or purpose. In this case, ""for 24 days"" could be a purpose or reason for booking a particular room on that date. 
  

In this example, I want to book a single room from April 1 to April 24.

"
14,they want the government to reduce the price of the gasoline.,"

the speaker does not ask a direct question but shares their feelings and personal experiences;
in inform and question acts, there is a need to provide additional information to understand the meaning of what was said; in this case, it is the difficulty of talking when meeting new persons for first times. 
In question and directive acts there must be a request or a demand from the other person. In this example, since the person speaking is sharing his feelings, he is neither asking for anything nor making any demand on his listener. 
 In commissives, speakers make commitments or promises. However, in the given text the only commitment is related to the business.

"
15,it is really a hot potato.,"

Overinform: This is a request for information that is not relevant to the current context. 
Question: It is likely that the driver was asked whether they ran the redlight, but they did not ask. This indicates they might be asking for clarification. 
  Question is the most likely dialogueact given the context of the passage.

"
16,we've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years.,"

This text contains an explanation of the cause of apology, and therefore it is classified under the label of 'explanatory'.

A:
According to the model, ""We've manage to"" is an informational statement.  ""In the"" implies that the information is about something that happened in a past time. ""About"" suggests that it's a general statement about a topic. 
""15 per"" percent is a measurement of something, so it could be considered an informative statement as well.

"
17,that's excellent. how have you managed that?,"

Question is a conversation act that indicates a topic is being discussed. The inform text does not contain any discussion of a current topic, so question is the most appropriate classification. 
Additionally, there is an element of gratitude in this statement which is not present in other dialogue acts. This indicates that question may be the correct classification for this instance of the dialogue.

"
18,mainly because we've invested in a heat recovery system.,"

overinform: this is a request for more information, so inform is the correct classification. 
question: the question marks the dialogue acts of the following words: ""it"", ""depends"", and ""of course"". This indicates the sentence is unclear, and the classification of question is appropriate. 
  
directive: directive is used for requests that are not asking questions, such as telling someone what to do. The sentence does not contain any questions or requests for clarification, therefore directive should not be used.  directives are used in the  following dialogue Acts: commissives, orders, suggestions, recommendations, requests, commands, prohibitions, exhortations, entreaties, prayers, invitations, protests, remonstrations.   
commissive : commissIVE is for asking someone to perform a task. In this case, ""well"" is acting as a command, asking the other person to explain the item's price. Therefore, this classification is correct.

"
19,what does that mean exactly?,"

Question is a special type of informational request that seeks information. It is used to clarify or confirm what has already been said. 
  
  Out ofinform: This is an informational question that is not seeking confirmation. The question is out of the topic of knowledge. 
Out question: this is the special case of an inform question where the question mark is omitted. In this case, it is assumed that someone is already aware of something. For example, ""are we there yet?"" is considered a ""question"" even though the answer is ""no"", because the ""we"" is presumed to be a familiar entity.

"
20,"well, we use the exhaust gases from our printing presses to provide energy to heat our dryers.","

inform is used when the information being provided is not a guarantee or promise. For example, ""our engineers are currently working on a solution to this problem"" or ""we hope to have an update for you soon"".
question is when someone is asking a direct question. ""why are we using the printing press's exhaust to dry our clothes?""
directive is often used to give instructions. for example ""put your clothes in the dryer""
commissive can be used in a request for information.  ""can you please explain to me why we are using printing exhaust for energy?""

"
21,what other sources of energy do you use?,"

In the first sentence, rest implies that something is missing from the receiver's activity. The speaker wants to know what else the listener could be doing to be refreshed. 
Secondly, drinking more fluid implies a change in the current state of the conversation. In this case, more fluids means more than just water, as the context suggests that this is a recommendation for a healthy lifestyle. 
  
Finally, in this context, writing the prescription implies the intention to influence the behavior of another person. This is an indication that what the sender is asking is for, rather than a suggestion.

"
22,we don't use any fossil fuels. most of our power comes from hydro - electric plants. we're hoping to use even more energy from alternative sources in the future - perhaps even wind power.,"

Inform (Over Inform, Question, Directive, Commissive) is used when the information being provided is not critical to the conversation, but is still provided. For example, when a customer asks a salesperson about a new product, inform is a better choice than overinform because the sales person is likely not required to know much about this product in order to provide the necessary information.

"
23,"believe it or not, tea is the most popular beverage in the world after water.","

In this example, believe it is providing the information that tea (a beverage) is actually the second most consumed beverage after Water. 
Without revealing this dialogue label, you can argue that believe is not a proper classification as it does not provide any information.

"
24,"well, people from asia to europe all enjoy tea.","

Inform (Over question, directive, commissIVE) is used when the message is about something that is already known to the receiver. In this case, inform is a better choice than question or directive or commissitive. 
Overinform (Out of information, query, order, suggestion) indicates that the information provided is either too much or too little. 
  
Outofinform is similar to overinform, but indicates the opposite. Outofinformation indicates toomuch information; toolittle information is overinformation.

"
25,right. and china is the homeland of tea.,"

Because the dialogue acts of the above text are not question or directive or commissives, they are all inform or over inform/over question/ over directive/overs Commissive. 
  

A:
According to this website, there are 4 types of dialogue Acts: 
Question: ask a question
Directive: give a command
Request: request something
Commissive (or Inform): give information

"
26,"yes, chinese people love drinking tea so much. some even claim they can't live without tea.","

inform is a transitional act that indicates the conversation is getting more specific. In this case, it's a request for information. 
question is the next predicted act if inform is not applicable. The question is ""why?""
directive is another transitional action that is used when the person speaking wants to make a suggestion or order. Here, Mr Sandels is suggesting that Michelle drink tea and making a recommendation. 
 commissitive is an assertive act used to finish a conversation. It's the last predicted action in this example.

"
27,do you know there are several catagories of chinese tea?,"

Because the phrase 'there are' is followed by a relative clause, and the relative pronoun 'which' can function as a subject, indicating that the question is about something specific. In this case, it is a list of several Chinese teas.

"
28,"yes, i believe there are green teas, black teas and scented teas. any others?","

Question is a dialogueact that indicates the information provided is not enough to make a decision. The speaker wants to know more. 
  
  In this case, it seems the green tea, scentsed tea and black tea are not the only types of tea. So the question is whether there is only one type of teabag or whether some teaware can also be a tea bag.

"
29,"well, have you ever heard of oulong tea and compressed tea?","

""have you heard"" is an information statement, so it would be out ofinform. 
Compressed tea is not a known entity, therefore it cannot be answered as of information. However, ""compressed"" can be a verb, and so this statement could be classified in question as ""have [you] ever [heard of] compressed [tea]?"". 
  

A:
According to the Stanford CoreNLP toolkit, your answer is correct.

"
30,"oh, yeah. oulong tea is good for one's health. isn't it?","

Question indicates a request for information or assistance. The sentence, ""oh yeah, oolong is great for your health"" indicates the speaker is looking for confirmation or further explanation.

"
31,you surely know a lot about chinese tea.,"

Overinform: this is a strong negative sentiment, which means the author is very dissatisfied with the response and is likely to provide further instructions or advice. 
  
Question: the question mark indicates that the speaker is not sure about something, and would like to confirm it. 
Directive: a directive dialogueact is used when one person gives orders to another. In this case, ""outlets"" is the second person, so the dialogue acts are overinform and question. The directive act includes telling someone to do something (directive), or giving someone instructions (direction). 
 Commissive : a commissitive dialogue is when someone makes a promise or commitment (commissIVE). In Chinese, there is no word for ""promise"" or ""commitment"", so this act can be inferred from the context.

"
32,"sure, i like drinking tea at teahouses.","

overinform: the dialogue acts inform and question are both possible, but inform is more likely given the context. 
question: this is the most likely dialogueact, as the question mark at end of the sentence indicates the asker is looking to confirm something.

"
33,"oh, so do i.","

the text does not provide any new or additional information, and therefore it is classified over inform;
it is not a request for information or question; therefore, it's classified question. 
giving the rose to her wife is an action, therefore the dialogue acts classified here are directive and commissives.

"
34,why don't we go for one now?,"

Directive is the most likely dialogueact given the context. The person has just described their bad experience and is asking the other person to stop being so rude. 
  
Overinform is unlikely as the first person mentioned that they were late, but did not provide any details. 
Question is also unlikely given that there is only one question mark in the entire text. This is not a very detailed or specific question.

"
35,great. we can chat while enjoying a cup there.,"

 commissives are used when the sender is trying to get the receiver to do something, but the message itself does not provide enough information to enable the action to be carried out. For example, a waiter might ask a customer if they would like a drink, and the customer might say no, because they are already late for an appointment. In this case, it is the waiter who is commissing the customers to have a beverage, since the information that was not provided to them (the customer is already on time and does want a cocktail) would have made it possible for them to serve the drink to that customer immediately.

"
36,let's go!,"

It is a commissIVE because the message is asking for a response. 
This is because of a comms rule: If the sender is telling you something, and then asking you a follow-up question about it, then the question is likely a request for information. Commands are not requests for additional information; they are requests to carry out an action. 
  So in this case, it's a command: ""Don't repeat that!""

Note that this is just a rule of thumb, not a hard and fast rule. In some cases, a Commissive message can also be a Request for Information.

"
37,what are your personal weaknesses?,"

the text does ask for information, as it asks 'what is it like to be a robot?'. 
it is a directive dialogueact, asking the user to provide information. 
  

based on this, I would say that my personal weakness is that I am not very good at asking questions.

"
38,"i ’ m afraid i ’ m a poor talker. i ’ m not comfortable talking with the people whom i have just met for the first time. that is not very good for business, so i have been studying public speaking.","

'ah.’ can only be an acknowledgment of provided information, and it is a bad form of publicspeaking. It is similar to a “yes, yes, I know” response. 
  
  It is also possible that the author of that text is simply not a verygood public speaker, but the classification of their dialogueact as overinform is likely incorrect.

"
39,are you more of a leader or a follower?,"

In this example, inform is not the most appropriate dialogue action, as the message is asking the reader for advice. This is a question dialogue, and a follow. 
Leader: ""i've a headache, can you take a look at it for me?""
Follower (assuming answer ""yes"", leader leaves)

A:
According to the GPT-3 model, this is an example of question: 

 

This is because the model predicts that the answer to this question will be ""Yes"", which is the next most likely response.

"
40,"i don ’ t try to lead people. i ’ d rather cooperate with everybody, and get the job done by working together.","

Inform is the most general dialogueact, indicating that the speaker is seeking information from the listener. Based on this passage, it is not clear whether the proposal is for information or for confirmation. The proposal could be for both, or it could simply be a suggestion. In any case, inform is most closely aligned with the first paragraph of the passage. 
Question is another general classification for this dialogueAct, suggesting that either the information provided is unclear or that it raises questions. This is consistent with what the inform label would suggest, since the proposed course or action is uncertain. However, this classification also suggests that there is some information that is missing, perhaps from another source. 
  Directive is also a general label for these types of proposals, as it suggests the suggestion is from one person to another. Here, however, there seems to be no one directing the other to do something. Instead, both are proposing something, but neither is taking the initiative. Commissive, on its own, suggests an adversarial relationship between the two, where the proposer is asking the commissor to take action. There is no suggestion here that this is an attempt to cooperate.

"
41,do you think you can make yourself easily understood in english?,"

""yes, of course"" is an example of a question. The question is asking ""can I make myself easily understandable in English?"". 
  

In contrast, ""yes"" can also be understood as a statement of fact. In this case, it is not a questioning statement, but rather a confirmation of something that the person has already assumed. Therefore, this part of the response can safely be omitted.

"
42,"yes, in most circumstances.","

In this example, inform is the correct classification because the provided information is not a request for information, a directive or a commissIVE.

"
43,are you available for travel?,"

Question is a sub-type ofinform. Question can be used to request for information from the other person. In this case, it is the travel agency that is asking the customer about whether they are available to travel. 
  
Out of question and question:

question can also be followed by a direct object, which is another person, to whom the question is being asked.  In this example, there is an object (person) that follows question. Here, customer is telling the agent that they need to accompany the person to the airport. 
In the example provided, no object follows thequestion. However, if there was an agent following the questions, this would be considered as commissivesub-types ofquestion
There is no directive in this dialogue. Commissive is used when a person is making an offer or commitment to another.

"
44,"yes, i like travelling. i am young, and unmarried. it ’ s no problem for me to travel frequently.","

In this example, travel is the topic of conversation. The person is young and single, so it is not a concern for them to be able to visit different places. Therefore, inform is a suitable classification for this dialogueact.

"
45,how long will it take us to drive to london?,"

Question: This text seeks to find out how long it will take to travel to London. This is a request for information, and therefore a query. 
  Inform: We do not know the answer to this question and cannot provide that information. We will need to consult our travel guide for the details. 
Directive: Please consult your travel guides for this information!
Commissive (sometimes used as a substitute for directive): Please refer to our guide!

"
46,"i think it ’ s a distance of 180 kilometers from here to london, so it should be a two - hour drive on the motorway.","

'i dont know wht to told you' is a form of expressing uncertainty. This is not a request for information, a directive or a committment. 
It is also not an order or suggestion.

"
47,that ’ s unless there is a traffic jam. it could take three hours.,"

In this example, inform is the correct classification, as the message is expressing gratitude for an anticipated future occurrence.

"
48,"you ’ re right. we will be able to travel at high speeds at the beginning and end of the journey, because we will be in built - up areas.","

the text does provide information, by providing names for the plant we’ re talking about, weed;
it does ask questions, as it asks what the different terms are for this plant; and
although it does give directives, it is not a command, but rather information that we should do.

"
49,"so, shall we allow three hours to cover the distance?","

directive is the most appropriate dialogueact given the context. The sender is seeking confirmation that the receiver has all the drugs they need to complete the journey in the specified time period. 
question is an additional possibility. However, it's unlikely that a sender would ask a receiver a ""question"" if they already had all this information.

"
50,"ok. you haven ’ t seen my company car, have you?","

Question asks for a reason or justification for the response. In this case, it's because the car is not mentioned in the first part of the message. 
  
Overinform: the question is too general and does a poor job of conveying the information needed for an answer. The response is needed to be more specific. 
Questions: ask questions that require a response
Directives: give orders or instructions
Commissives : make promises or give commands

In this example, 'have you?' is a non-specific question. 'Have you seen My company's car?' would be a more appropriate question to ask.

"
51,no. let me take a look... it ’ s longer than my car.,"

Inform (longer than car) is a dialogueact that is used to provide information. In this case, it is being used by the speaker to inform the listener about a problem the latter is experiencing. 
Overinform (speaker provided more information than was necessary) can be used when the information provided is not sufficient to make a decision. Here, since the amount of money being mentioned is relatively small, and the context is that it’s being asked about by someone who is confused, so it seems like the inform dialogue action is appropriate. 
  Question (I don’t understand what I’m being told) would be a better response if the dialogue acts were overinform and question. Question is more of a statement than an inquiry, whereas inform is an enquiry.  
Directive (do this, don't do that) indicates a command, order, request, suggestion, etc. in the conversation. Since the two 6 dollar amounts are being suggested by another person, this is likely a suggestion. Commands are typically given by people who are in authority, such as a manager. Commissive is typically used in a negotiation, where one party makes a request of the other, but it can also be given in other situations, depending on context.

"
52,i think it ’ s over five meters long. i can ’ t remember exactly. it has a maximum speed of over 200 kilometers an hour.,"

In this example, ""it has maximum speeds of 200 km/h"" is a piece of information that is conveyed by the inform act, which is the most common dialogueact in this context.

"
53,wow! that ’ s fast! i don ’ t think we will be traveling that fast on the motorway.,"

This text indicates the speaker is providing information. The inform dialogue acts are overinform, overquestion, outdirect, and outcommissive. 
  
  The predicted text act for this response is outinform.

"
54,"we can ’ t. if we went that fast, we would break the speed limit.","

We classified the dialogue acts as question (based on inform), directive (because of the word ’ we’), commissives (as it does not fit into the other categories). 
  

A:
According to the GPT-2 model, this is a commissIVE dialogue.  The Github page has a link to a paper that describes the model and the results.

"
55,so how did i do on my driving test?,"

Question is a dialogueact that seeks information. The passage is seeking information of the person's weaknesses so the answer would be a personal weakness. 
  
Overinform means that the dialogue acts is too general, it is not specific enough to the task. In this case, inform is the best choice. 
Question is used when someone is trying to find the right answer to a specific question. It is an attempt to ask a direct question to another person, but the question is actually directed to someone else. For example, ""Do you like pizza?"" is considered a query, whereas ""do you know who likes pizza"" is consideration.  In this example the first example is questioning, while the second example indicates a request.   

Inform is another dialogue action that is often used in a general way. When someone asks you a simple question like ""what time is it?"" you will likely respond with ""it is 7:00 am"". Inform can be used to answer a broad question such as ""where is your house?"". However, when you are asked a more specific and detailed question you should respond using inform. ""I live at 123 Main Street"". 

 

Directive is when one person gives orders to others. Here the driver is giving directions to other drivers. Directive can also be considered as a command. If someone were to say ""slow down"" you would likely slow down.

 
  
 
 commissives are used for when two people are working together to accomplish a goal. Commissives can include suggestions or recommendations. Suggestion is similar to directive in that it's a person giving orders, however, suggestion is more of a suggestion than a directive. A suggestion could be ""you should wear your seatbelt"". Commissive would include recommendations like this ""You should always buckle your belt when riding in the car"".

 
 So in summary, based on this passage, a good response to this question would have been ""yes, pizza is my weakness"". 
"
56,do you want the truth?,"

This text could be considered to be asking an open-ended question. The speaker is sharing a personal update, so it could also be classified a request for information. However, this is a difficult classification to make based on this limited context. 
  
If we consider the full context, including the previous sentence, it seems more likely that this sentence is an explanation of the update rather than a direct question:

Do you really want to know the TRUTH? 
   
  I'm going to share with you something personal that I've been holding back for a long time. I'm so excited to finally tell you this. But I need to tell it to you in a way that you will never forget. And I don't know if I can do this justice. So I will start by sharing that my life has not been the same since I found out about this secret that has haunted me for years. 
I was a child when I was first introduced to this family. My parents were newlyweds and living in Europe. They were young and inexperienced and had just started their family, and they were eager to show off their new family to their friends and extended family back home. One evening, they invited my parents' closest friends to join them for dinner. We all had a wonderful evening and were laughing and enjoying ourselves. After dinner, my mother took me aside and showed me a photograph. She told me that the photograph was of a family that had been very important to her when she was growing up. This photograph had special meaning to my family as well, as they had also been newlywed and now parents when they'd met my grandparents. When my grandmother had passed away, their photograph album had become my great-grandmother's treasured possession. As I looked at the picture, I saw that it was indeed a picture of my new in-laws. Their faces were smiling, but their eyes were not. In the eyes of those who knew her best, Grandmother had once told my maternal grandmother that she had made a terrible mistake in marrying my grandfather. That she would have been happier if she'd never met him.  That she should have married someone else. Someone who was not so charming and good-looking. Who did not have such a kind and loving heart.   My grandfather had never spoken of that conversation to anyone. He had always told everyone that his wife had confided in him that they should end their marriage. Everyone had believed him, even though he'd been a young man of twenty at that time, with little experience in matters of love and relationships. Even though my father had known the entire truth of his parents, he had not known his own parents well. His parents had married later in life, after they themselves had grown closer and closer over the years, until they knew each other well and felt they could make a lifetime commitment to each another. To this day, his father still did his best to convince himself that he was happy with his choice. Still, deep down, in his heart, there was always a nagging doubt that perhaps he should not be so quick to dismiss the advice of someone he considered his childhood friend. Perhaps he could have done things differently. Yet, to his credit, when my dad was diagnosed with cancer, at age 42, instead of running away from his problems, like so many of us would do, that same friend had come to him and offered to help. Had offered his expertise and experience. Helped him to find a doctor who would treat his condition with the most modern and effective treatments. Told him he didn't have to do it alone. Gave him hope. Given him the strength to fight. Despite his friend's best efforts, despite his family's support, ultimately, because of their own personal and professional commitments, both his mother and his sister had refused to allow him any time off. Refused to let him go to the hospital to see his son. Instead, had insisted that instead, if he wanted to spend any quality time with their only remaining child, then he would need only to visit them at their home in the country. There, surrounded by their beloved animals, children, grandchildren, great grandchildren and great great grand children. All of whom they loved and who loved them. For a few hours each day. Each week. Every month. Year after year. Until the day he died. Because that's what they did. Those who love us, who care about us and want what's good for us will always put themselves in our path. No matter what. Whether it's a spouse, a parent, an employee, our children or our friends. Our loved ones. These are the people who will put their lives on hold to ensure our happiness. Not just for the time it takes to learn to love them again. Or to get to a point where we can no longer ignore their presence. Where we finally see them in their true colors. Like a mirror. A window. An open door. Through which we see the person they truly are. Sometimes, we need that. Especially when we are young. Young and naive and full of hope and promise. Full of dreams and plans and ideas. Of all the things we want in this world. Things that make us happy. Often, those things are not what we truly want. What we really need. Love. Family. Security. Respect. Compassion. Connection. Support. Trust. Honesty. Integrity. Justice. Fairness. Responsibility. Accountability. Faith. Hope. Courage. Strength. Honor. Loyalty. Service. Commitment. Devotion. Sacrifice. Duty. Obedience. Gratitude. Kindness and Compromise. Balance. Harmony. Peace. Quiet. Solitude and Time. Time to ourselves to think and to heal and grow and heal again and again until we have finally learned to truly love ourselves and those around us. Then, perhaps, one day we will find the courage to look into the mirror and truly see ourselves for who we were meant to become. If we wait for someone to come along and show us the way. Teach us how to live. How to laugh. Tell us what to say and how and when to stop and look and listen and feel and believe and dream and create and build and rebuild and reimagine and redream and recreate and recommit and commit and dedicate and consecrate and sanctify and hallow and honor and remember and hold and protect and preserve and perpetuate and pass down and teach and share and give and grant and bestow. Only then will we find true happiness and true love. True family and family values. Real security and peace of mind. Yes, sometimes we must sacrifice. Give up some of what makes us feel safe and secure. Some of our dreams. Just to have the chance to experience true family life. Life with those we love most. With those whom we know best. Whom we trust. From whom our heart can truly open and close. Without fear. Fear of losing what is most dear to us or fear of never finding what our hearts truly desire. Fears that are born of ignorance and lack of experience and a lack understanding of who our loved one truly is. Why they do what and whom and where they are and what their intentions are for our well-being. Such fears are natural. Natural to our human condition. Necessary. Healthy. Essential. Part of life's journey. Learning to navigate the waters of family relationships and trust and love is hard work. Very hard. Uncomfortable. Difficult. Painful. Frustrating. Humbling. Exhausting. Intense. At times, downright painful. Ultimately, though, worth it all. Worth it for what it will ultimately lead to. Lead to greater happiness for all of you. Greater love for you and for those you love, for your children and grandchildren. Your friends, your spouse. You. Me. Together. Forever.

"
57,"of course, i do.","

inform: the dialogue acts that describe a person giving information or guidance to another person. 
over: when a sentence contains both inform and question dialogue Acts, it is considered to have a question in between. For example, ""are you going to the party tomorrow?"" has both an inform dialogue Act (""yes, I am"") and a questioning dialogueAct (""are YOU going?""). 



question: a dialogueact that describes a direct request or order. 
  
directive: A directive dialogue-act describes an order or request from a superior to an inferior.  Examples include ""stop that right now"" or ""go to work"". 
   
commissive : A commissIVE dialogue action describes the reaction or response of a subordinate to a command or instruction from an superior. Examples include the response ""okay, but only if you clean up that mess"" in response to ""clean up the mess"".


Without revealing any of the above dialogue actions, you can say that the directive text is asking for the pictures to get tomorrow, because it contains a statement of request (""get your pictures"") followed by a clause that requests a specific action (""tomorrow"").

"
58,"well, you really didn't do all that well.","

Overinform: the system predicted that the response should contain a
  dialogue act other than inform. Inform is the most common dialogue
a.act in English. 
Question: why is my throat so inflammed? 

 

Directive: inform the doctor about this. 
  
Commissive (sometimes used instead of directive): please inform me the
doctor about my inflamation throat.

"
59,how bad did i do?,"

Question is a sub-type of directive. Question is used to seek information or advice from another person, and then use that information to make a decision. In this case, it is likely that question is being used as a way to ask for advice on a possible course-of-action. 
  
Out ofinform: This is the negative form of the verb to inform. It is typically used when you want to express that you do not have information, or that what you have is not accurate. 
Overinform is another negative verb form. Overinform means to give too much information. The speaker in this example is giving too many details about the plan, which may be confusing to the listener.

"
60,"to be completely honest, you failed your test.","

inform: this is not a question; this message is informational. 
question: is this a yes/no question? if so, then it is probably a query. if not, it could be a statement or a command. 
  question is classified here because this sentence could potentially be answered with a ""yes"" or ""no"", or could function as a declarative statement.  
directive: the request to provide the full  name is an instruction to act. the directive dialogue acts are classified in this section because they are typically used in requests for action. directive is the correct classification here.

"
61,how?,"

Question is associated more with seeking information, whereas the other dialogue acts are associated mostly with expressing opinion or giving orders.

"
62,there were a number of reasons.,"

Out of question and directive there is no corresponding label for this classification. 
There is also no commissIVE label. This label is used for directive acts. 
  

A:
According to the dialogue acts defined by the NLP community, this is an informative dialogueact.  The text you provided is not a question or a directive dialogue, so the classification is correct.

"
63,what were they?,"

Question is used to probe for information. In this case, it is being used by the examiner to find out what the patient is thinking. 
question is also used when someone is expressing uncertainty about something. For example, ""are you sure you want to do this?""
In this example the question is asking the doctor if the subject is sure about what they want. 
  
Directive is another way of expressing instructions. This is the most common type of dialogue acts. It is a way to tell someone what to or not do.  In the example above, telling the man what he should do is direct.

"
64,"basically, you just can't drive.","

inform: This is an action that requires no response. 
question: Why is the car so long? 

 
Question: Because it has wheels?
Inform: No, it’s longer. Let me look. It’ s over my vehicle’ size.

"
65,can i have another try?,"

In the first sentence, ""i lost"" is used to indicate that the action of losing the bag is a result of the will of that person. This indicates that it is not a statement of fact, but rather a request for another attempt. 
""i'm sorry"" indicates the person is truly sorry for the loss, and is expressing their intention to do better in the future. 
  

This is an example of a directive dialogueact, as it indicates a person who is making requests of another, who they are speaking to, what they want, when they would like to see the other person act, etc.

"
66,you can take it in a couple weeks.,"

Overinform: Overinform is a type of dialogueact that occurs when the speaker provides too much information. For example, a salesperson may overinform a customer about the features of a product, which may lead the customer to feel that the sales person is more interested in selling the product than helping them solve their problem. 
  Question: Question is the simplest type dialogue acts. When a speaker asks a direct question to another person, it's a dialogueAct of question. A question is an inquiry that seeks information from another. The question mark is used to ask questions. If a person asks you a simple question like ""are you hungry?"" you will likely answer ""yes"" or ""no"". 
 Directive: Directives are used when a human being is asking another for a specific action. An example of directive is ""Call your mom"". This is because the person asking for the action is also performing the act. Commissive is another type that is similar to directive. In commissives, there is no specific person requesting the specific act, but the request is coming from a higher authority. Like directives, Commissives can be used in requests.

"
